run_id,scheduler,workload,repetition,seed,tenant,completed_tasks,service_seconds,service_share,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_max_s,wait_p99_s,wait_max_s,deadline_missed,deadline_miss_rate
example,fifo,multi_tenant,0,1000,C,4,0.213000,0.028355,0.197122,0.219871,0.261645,0.266675,0.267932,0.207802,0.208636,0,0.000000
example,fifo,multi_tenant,0,1000,D,4,0.193000,0.025692,0.165349,0.181638,0.227963,0.231416,0.232279,0.179532,0.180215,0,0.000000
example,fifo,multi_tenant,0,1000,E,4,0.191000,0.025426,0.222917,0.228167,0.247778,0.250352,0.250995,0.192755,0.192888,0,0.000000
example,priority,uniform,0,1000,A,30,1.504000,0.199205,0.170853,0.073536,0.433093,0.446029,0.450115,0.400270,0.410053,2,0.066667
example,priority,uniform,0,1000,B,34,1.680000,0.222517,0.134967,0.067432,0.418134,0.434024,0.440923,0.379214,0.382829,0,0.000000
example,priority,uniform,0,1000,C,34,1.724000,0.228344,0.169327,0.072689,0.413577,0.439452,0.452046,0.382116,0.392956,0,0.000000
example,priority,uniform,0,1000,D,26,1.340000,0.177483,0.133871,0.064338,0.402624,0.427476,0.434036,0.377166,0.385982,0,0.000000
example,priority,uniform,0,1000,E,26,1.302000,0.172450,0.192242,0.078425,0.441678,0.456732,0.461581,0.402880,0.405501,1,0.038462
example,priority,bursty,0,1000,A,38,1.916000,0.255059,0.426479,0.426240,0.795848,0.808510,0.813178,0.753760,0.755135,14,0.368421
example,priority,bursty,0,1000,B,30,1.454000,0.193557,0.483055,0.458298,0.778741,0.799758,0.807344,0.752294,0.757284,15,0.500000
example,priority,bursty,0,1000,C,30,1.544000,0.205538,0.450424,0.443024,0.797452,0.810114,0.813741,0.756342,0.757640,14,0.466667
example,priority,bursty,0,1000,D,23,1.107000,0.147364,0.380374,0.423672,0.753132,0.768300,0.771385,0.720827,0.722137,6,0.260870
example,priority,bursty,0,1000,E,29,1.491000,0.198482,0.413687,0.447682,0.791659,0.813647,0.821944,0.758177,0.762670,11,0.379310
example,priority,heavy_tailed,0,1000,A,38,0.815000,0.235890,0.024379,0.017086,0.065174,0.079303,0.080265,0.008198,0.009807,0,0.000000
example,priority,heavy_tailed,0,1000,B,30,0.804000,0.232706,0.029411,0.021142,0.067297,0.120777,0.141254,0.003874,0.003874,0,0.000000
example,priority,heavy_tailed,0,1000,C,30,0.685000,0.198263,0.025704,0.016626,0.066054,0.075257,0.076364,0.007171,0.008510,0,0.000000
example,priority,heavy_tailed,0,1000,D,23,0.571000,0.165268,0.027447,0.019705,0.053837,0.093547,0.104578,0.003854,0.003902,0,0.000000
example,priority,heavy_tailed,0,1000,E,29,0.580000,0.167873,0.023026,0.018573,0.047320,0.071877,0.080167,0.004704,0.004709,0,0.000000
example,priority,multi_tenant,0,1000,A,135,6.749000,0.898429,0.178212,0.085275,0.489563,0.515601,0.533642,0.457945,0.486502,9,0.066667
example,priority,multi_tenant,0,1000,B,3,0.166000,0.022098,0.266818,0.285072,0.431756,0.444794,0.448054,0.387894,0.390995,0,0.000000
example,priority,multi_tenant,0,1000,C,4,0.213000,0.028355,0.126894,0.096821,0.242184,0.262466,0.267537,0.203348,0.208266,0,0.000000
example,priority,multi_tenant,0,1000,D,4,0.193000,0.025692,0.073640,0.071687,0.102823,0.106960,0.107994,0.060608,0.061850,0,0.000000
example,priority,multi_tenant,0,1000,E,4,0.191000,0.025426,0.155098,0.066882,0.375254,0.418327,0.429095,0.375369,0.386082,0,0.000000
example,wfq,uniform,0,1000,A,30,1.504000,0.199205,0.151791,0.122497,0.289330,0.298642,0.301280,0.247837,0.248909,0,0.000000
example,wfq,uniform,0,1000,B,34,1.680000,0.222517,0.185829,0.184688,0.308613,0.321458,0.323390,0.268733,0.270411,0,0.000000
example,wfq,uniform,0,1000,C,34,1.724000,0.228344,0.189616,0.206261,0.294474,0.297426,0.297986,0.244633,0.244932,0,0.000000
example,wfq,uniform,0,1000,D,26,1.340000,0.177483,0.099660,0.092415,0.157291,0.181960,0.189915,0.127281,0.131693,0,0.000000
example,wfq,uniform,0,1000,E,26,1.302000,0.172450,0.170137,0.176408,0.257569,0.286761,0.296321,0.235454,0.242308,0,0.000000
example,wfq,bursty,0,1000,A,38,1.916000,0.255059,0.519653,0.545061,0.820904,0.823405,0.823982,0.767823,0.768249,21,0.552632
example,wfq,bursty,0,1000,B,30,1.454000,0.193557,0.416436,0.433029,0.708506,0.729640,0.735764,0.683802,0.691689,12,0.400000
example,wfq,bursty,0,1000,C,30,1.544000,0.205538,0.457263,0.468064,0.762660,0.773899,0.777533,0.720637,0.721311,11,0.366667
