run_id,scheduler,workload,repetition,seed,task_id,tenant_id,priority,outcome,submitted_at,dispatched_at,started_at,finished_at,deadline,exec_ms,actual_exec_ms,retry_count,queue_wait_s,latency_s,deadline_missed,worker
example,fifo,multi_tenant,0,1000,quick-000020,A,0,completed,2026-09-08T09:26:38.567023Z,2026-09-08T09:26:38.585Z,2026-09-08T09:26:38.586699Z,2026-09-08T09:26:38.644752Z,2026-09-08T09:26:39.207023Z,58,58,0,0.019676,0.077729,false,bench-worker-1-0
example,fifo,multi_tenant,0,1000,quick-000021,A,0,completed,2026-09-08T09:26:38.57394Z,2026-09-08T09:26:38.598Z,2026-09-08T09:26:38.59904Z,2026-09-08T09:26:38.64609Z,2026-09-08T09:26:39.16794Z,47,47,0,0.025100,0.072150,false,bench-worker-0-2
example,fifo,multi_tenant,0,1000,quick-000022,A,0,completed,2026-09-08T09:26:38.577489Z,2026-09-08T09:26:38.601Z,2026-09-08T09:26:38.60237Z,2026-09-08T09:26:38.650423Z,2026-09-08T09:26:39.005489Z,48,48,0,0.024881,0.072934,false,bench-worker-1-2
example,fifo,multi_tenant,0,1000,quick-000024,A,0,completed,2026-09-08T09:26:38.589148Z,2026-09-08T09:26:38.609Z,2026-09-08T09:26:38.610046Z,2026-09-08T09:26:38.655227Z,2026-09-08T09:26:39.030148Z,45,45,0,0.020898,0.066079,false,bench-worker-1-1
example,fifo,multi_tenant,0,1000,quick-000023,B,0,completed,2026-09-08T09:26:38.585831Z,2026-09-08T09:26:38.604Z,2026-09-08T09:26:38.604948Z,2026-09-08T09:26:38.662Z,2026-09-08T09:26:39.061831Z,57,57,0,0.019117,0.076169,false,bench-worker-0-3
example,fifo,multi_tenant,0,1000,quick-000025,A,2,completed,2026-09-08T09:26:38.591924Z,2026-09-08T09:26:38.622Z,2026-09-08T09:26:38.622918Z,2026-09-08T09:26:38.680994Z,2026-09-08T09:26:39.099924Z,58,58,0,0.030994,0.089070,false,bench-worker-1-3
example,fifo,multi_tenant,0,1000,quick-000026,A,1,completed,2026-09-08T09:26:38.591924Z,2026-09-08T09:26:38.627Z,2026-09-08T09:26:38.628065Z,2026-09-08T09:26:38.681131Z,2026-09-08T09:26:39.232924Z,53,53,0,0.036141,0.089207,false,bench-worker-0-1
example,fifo,multi_tenant,0,1000,quick-000028,A,3,completed,2026-09-08T09:26:38.597877Z,2026-09-08T09:26:38.645Z,2026-09-08T09:26:38.645958Z,2026-09-08T09:26:38.686007Z,2026-09-08T09:26:39.130877Z,40,40,0,0.048081,0.088130,false,bench-worker-1-0
example,fifo,multi_tenant,0,1000,quick-000027,A,1,completed,2026-09-08T09:26:38.595424Z,2026-09-08T09:26:38.645Z,2026-09-08T09:26:38.645724Z,2026-09-08T09:26:38.688892Z,2026-09-08T09:26:39.194424Z,43,43,0,0.050300,0.093468,false,bench-worker-0-0
example,fifo,multi_tenant,0,1000,quick-000031,A,3,completed,2026-09-08T09:26:38.609852Z,2026-09-08T09:26:38.656Z,2026-09-08T09:26:38.656539Z,2026-09-08T09:26:38.696669Z,2026-09-08T09:26:39.061852Z,40,40,0,0.046687,0.086817,false,bench-worker-1-1
